,gene,score,logFC,pval,pval_adj,cluster
0,VCAN,24.414267,,1.2066243479140394e-131,3.779551599979451e-128,0
1,S100A12,24.403399,,1.573829523206101e-131,3.779551599979451e-128,0
2,MNDA,24.242416,,7.94936927009948e-130,1.2726940201429269e-126,0
3,LYZ,23.963469,,6.688031924027076e-127,8.030654332775512e-124,0
4,DUSP1,23.682953,,5.403680630275922e-124,5.1907756134430505e-121,0
5,CD14,23.649906,,1.1829531280924344e-123,9.469539790379938e-121,0
6,GPX1,23.64128,,1.4511352906450227e-123,9.956861144240063e-121,0
7,CTSS,23.576752,,6.675883331490022e-123,4.008033455143322e-120,0
8,FCN1,23.531494,,1.942284453885831e-122,1.0365324702237385e-119,0
9,SRGN,23.42574,,2.3366380475861945e-121,1.122287254255649e-118,0
10,CD36,23.171663,,8.794069200880433e-119,3.7758483803473753e-116,0
11,GRN,23.168638,,9.433724872822924e-119,3.7758483803473753e-116,0
12,CSTA,23.115425,,3.239599073998603e-118,1.1969072578780992e-115,0
13,MPEG1,23.00183,,4.468826115290929e-117,1.5331265594101664e-114,0
14,TKT,22.962507,,1.1051023438378879e-116,3.2286174645576986e-114,0
15,S100A6,22.961948,,1.1194351168347978e-116,3.2286174645576986e-114,0
16,CSF3R,22.961052,,1.1427544638242948e-116,3.2286174645576986e-114,0
17,MS4A6A,22.909407,,3.744027704913019e-116,9.990313925942905e-114,0
18,APLP2,22.8935,,5.393348541285923e-116,1.363381739147173e-113,0
19,FGL2,22.852386,,1.3837096291958726e-115,3.322978674513888e-113,0
20,CYBB,22.80623,,3.976776410446169e-115,9.095455761606167e-113,0
21,NCF2,22.801302,,4.450831427906068e-115,9.716974249196748e-113,0
22,KLF4,22.79122,,5.603397952348332e-115,1.1701356680490886e-112,0
23,CEBPD,22.678633,,7.28182248444792e-114,1.4572747247001402e-111,0
24,AP1S2,22.532885,,1.9765588530515553e-112,3.797364868482648e-110,0
25,TYMP,22.356106,,1.0531006058872827e-110,1.9454008500294686e-108,0
26,OAZ1,22.350842,,1.1849142667639028e-110,2.1078308234322315e-108,0
27,PSAP,22.344007,,1.3808363896330722e-110,2.3686275640741593e-108,0
28,AC020916.1,22.326979,,2.0213787188465636e-110,3.347821374696567e-108,0
29,RNF130,22.312527,,2.792614406900041e-110,4.470975665446966e-108,0
30,TALDO1,22.154457,,9.449144715941632e-109,1.4640078087312147e-106,0
31,BRI3,22.078392,,5.099179911901356e-108,7.653550349019442e-106,0
32,LGALS1,21.95572,,7.635939232661713e-107,1.1113762464992184e-104,0
33,RGS2,21.931524,,1.3000036815290171e-106,1.8364463771717263e-104,0
34,RAC1,21.911135,,2.034490497782656e-106,2.791902245957171e-104,0
35,CST3,21.860947,,6.11624115040631e-106,8.160085068167085e-104,0
36,ZFP36,21.803028,,2.1716094246468856e-105,2.818983801778106e-103,0
37,CTSD,21.748137,,7.194456784324965e-105,9.093414719766527e-103,0
38,FTH1,21.713072,,1.5438884305504025e-104,1.9013579825470726e-102,0
39,SERPINA1,21.693018,,2.387941656338974e-104,2.8673209438490227e-102,0
40,TSPO,21.57595,,3.0220796217051823e-103,3.489611261514694e-101,0
41,TNFAIP2,21.575502,,3.0515026646599443e-103,3.489611261514694e-101,0
42,AIF1,21.444878,,5.097913976510583e-102,5.694251355623332e-100,0
43,MCL1,21.409254,,1.0955232105416995e-101,1.1958631773254053e-99,0
44,CLEC7A,21.343382,,4.49245042693927e-101,4.794942089019848e-99,0
45,S100A11,21.331732,,5.763481444113525e-101,6.017826386103751e-99,0
46,LST1,21.264963,,2.396783719714757e-100,2.449308979955314e-98,0
47,PLBD1,21.258242,,2.7658690134400547e-100,2.767597681573455e-98,0
48,COTL1,21.249279,,3.347635542940001e-100,3.281366023008332e-98,0
49,TYROBP,21.059618,,1.8667494414025638e-98,1.7931995134113029e-96,0
50,TNFSF13B,20.931122,,2.7885046400344593e-97,2.626115252173629e-95,0
51,CPVL,20.912302,,4.137777442271734e-97,3.821874049082911e-95,0
52,LGALS3,20.825256,,2.555500668062665e-96,2.3158622091896188e-94,0
53,CFD,20.612293,,2.1289916560184105e-94,1.893619800714153e-92,0
54,TGFBI,20.392944,,1.9316075564763016e-92,1.6868201988646685e-90,0
55,PGD,20.361353,,3.682686563454838e-92,3.1585613507631403e-90,0
56,FCER1G,20.274197,,2.1731177283205303e-91,1.8311376226532467e-89,0
57,CEBPB,20.258625,,2.9817519950334616e-91,2.4691991089906406e-89,0
58,FPR1,20.24563,,3.881915291915737e-91,3.160142228317167e-89,0
59,RAB32,20.183006,,1.3808642282885018e-90,1.1053818147449458e-88,0
60,FCGRT,20.134499,,3.680168720545879e-90,2.897680387669157e-88,0
61,BLVRB,20.12296,,4.644993779024993e-90,3.5983717936543617e-88,0
62,KCTD12,20.065714,,1.4716086128411892e-89,1.121926375789878e-87,0
63,NAMPT,20.0544,,1.847607238548126e-89,1.3865714948041638e-87,0
64,STXBP2,19.964106,,1.1303272595972594e-88,8.225699739160056e-87,0
65,CLEC12A,19.863394,,8.440978643742524e-88,6.051047824760499e-86,0
66,SLC7A7,19.860704,,8.905196629823311e-88,6.289949913682553e-86,0
67,GCA,19.844126,,1.238664534860584e-87,8.622182262225195e-86,0
68,CTSB,19.760216,,6.552290028707718e-87,4.4958070011261673e-85,0
69,DUSP6,19.706667,,1.8901071434998972e-86,1.2786175507366206e-84,0
70,GSTP1,19.568426,,2.874193749071767e-85,1.9173267467766245e-83,0
71,HCK,19.395681,,8.39341407631226e-84,5.522406549113395e-82,0
72,FGR,19.380445,,1.128663410104573e-83,7.325635619908466e-82,0
73,ZEB2,19.304266,,4.945215698234923e-83,3.166916133149645e-81,0
74,CD93,19.299898,,5.381555984425363e-83,3.401001762262503e-81,0
75,TIMP2,19.217445,,2.644717800417876e-82,1.6496856617411762e-80,0
76,H3F3A,19.167257,,6.94757636954441e-82,4.2781037567848466e-80,0
77,JAML,19.15572,,8.671935640218164e-82,5.272317326578207e-80,0
78,FBXL5,19.14967,,9.740277299863194e-82,5.847818983905365e-80,0
79,SAT1,19.121103,,1.6850709300258633e-81,9.991846514708914e-80,0
80,NPC2,19.099594,,2.544604051224504e-81,1.49045527536967e-79,0
81,C5AR1,19.084694,,3.3845343891559225e-81,1.9585444182067345e-79,0
82,SLC11A1,19.007395,,1.481271320728976e-80,8.46969780173961e-79,0
83,LMO2,18.9618,,3.52856653379004e-80,1.9938476543286545e-78,0
84,LGALS2,18.881477,,1.6199215465686548e-79,9.047073474615405e-78,0
85,PPT1,18.872963,,1.9032212847927585e-79,1.0507094058459333e-77,0
86,ANXA1,18.824343,,4.7708721883474193e-79,2.603920354617347e-77,0
87,RHOB,18.755,,1.762226773378691e-78,9.510084485997587e-77,0
88,KLF6,18.736626,,2.4891937381953184e-78,1.3283997249502348e-76,0
89,ALDH2,18.61575,,2.394880303915722e-77,1.2640230878799135e-75,0
90,MEGF9,18.55503,,7.426546783114598e-77,3.877141760793414e-75,0
91,PTPRE,18.45163,,5.059628877504624e-76,2.585255053048373e-74,0
92,RTN3,18.439531,,6.328838722110876e-76,3.1997276191893202e-74,0
93,NUP214,18.420486,,8.9992031190262e-76,4.502413810487796e-74,0
